Dierks Bentley, Puyallup Fair Concert Series, Puyallup, WA. September 18, 2010; dierksbentley.htm; l; https://farm5.static.flickr.com/4108/5049382351_ec26243540_m.jpg; dierksbentley.jpg; 1715
We The Kings, Puyallup Fair Concert Series, Puyallup, WA. September 15, 2010; wethekings_puyallupfair.htm; l; https://farm5.static.flickr.com/4085/5005018024_5ed839e89d_m.jpg; wethekings_puyallupfair.jpg; 1716
Forever The Sickest Kids, Puyallup Fair Concert Series, Puyallup, WA. September 15, 2010; foreverthesickestkids_puyallupfair.htm; l; https://farm5.static.flickr.com/4107/5002984372_e332f8f4f5_m.jpg; foreverthesickestkids_puyallupfair.jpg; 1717
A Rocket To The Moon, Puyallup Fair Concert Series, Puyallup, WA. September 15, 2010; arockettothemoon_puyallupfair.htm; l; https://farm5.static.flickr.com/4107/5002939490_ed84cdfebc_m.jpg; arockettothemoon_puyallupfair.jpg; 1718
John Legend, Puyallup Fair Concert Series, Puyallup, WA. September 14, 2010; johnlegend_puyallupfair.htm; l; https://farm5.static.flickr.com/4086/5002906200_f87f2918c6_m.jpg; johnlegend_puyallupfair.jpg; 1719
Sharon Jones, Puyallup Fair Concert Series, Puyallup, WA. September 14, 2010; sharonjones.htm; l; https://farm5.static.flickr.com/4108/5095690712_d6353a8624_m.jpg; sharonjones.jpg; 1720
Brad Paisely, H20 World Tour, The Gorge, George, WA. September 1, 2010; bradpaisley_thegorge.htm; l; local; bradpaisley.jpg; 1721
Darius Rucker, H20 World Tour, The Gorge, George, WA. September 1, 2010; dariusrucker_thegorge.htm; l; local; dariusrucker.jpg; 1722
Justin Moore, H20 World Tour, The Gorge, George, WA. September 1, 2010; justinmoore_thegorge.htm; l; local; justinmoore.jpg; 1723
Steel Magnolia, H20 World Tour, The Gorge, George, WA. September 1, 2010; steelmagnolia_thegorge.htm; l; local; steelmagnolia.jpg; 1724
Easton Corbin, H20 World Tour, The Gorge, George, WA. September 1, 2010; eastoncorbin_thegorge.htm; l; local; eastoncorbin.jpg; 1725
Josh Thompson, H20 World Tour, The Gorge, George, WA. September 1, 2010; joshthompson_thegorge.htm; l; local; joshthompson.jpg; 1726
War, Snoqualmie Casino, Snoqualmie, WA. September 9, 2010; war.htm; l; https://farm5.static.flickr.com/4086/5001477407_56b7276a1f_m.jpg; war.jpg; 1727
The Family Stone, Snoqualmie Casino, Snoqualmie, WA. September 9, 2010; thefamilystone.htm; l; https://farm5.static.flickr.com/4154/5002081462_0068e0e0bb_m.jpg; thefamilystone.jpg; 1728
Mary J Blige, Bumbershoot Music and Arts Festival 2010, Seattle Center, Seattle, WA. September 6, 2010; maryjblige_bumbershoot2010.htm; p; https://farm5.static.flickr.com/4147/5001328269_831ffd8b0f_m.jpg; maryjblige_bumbershoot2010.jpg; 1729
