Keith Urban, Get Closer World Tour 2011, Key Arena, Seattle Center, Seattle, WA. September 29, 2011; keithurban_keyarena.htm; l; https://farm7.static.flickr.com/6132/6199522331_001e79ee37_m.jpg; keithurban_keyarena.jpg; 1490
Jake Owen, Keith Urban's Get Closer World Tour 2011, Key Arena, Seattle Center, Seattle, WA. September 29, 2011; jakeowen_keyarena.htm; l; https://farm7.static.flickr.com/6158/6199518149_1bb6dc0f76_m.jpg; jakeowen_keyarena.jpg; 1491
Never Shout Never at the Puyallup Fair, Doormatt's Not So Private Performance, Puyallup Fair, Puyallup, WA. September 25, 2011; nevershoutnever_nspp.htm; l; https://farm7.static.flickr.com/6180/6190324443_456ce38c5c_m.jpg; nevershoutnever_nspp.jpg; 1492
The Maine at the Puyallup Fair, Doormatt's Not So Private Performance, Puyallup Fair, Puyallup, WA. September 25, 2011; themaine_nspp.htm; l; https://farm7.static.flickr.com/6125/6190304111_0f662e1824_m.jpg; themaine_nspp.jpg; 1493
A Rocket To The Moon at the Puyallup Fair, Doormatt's Not So Private Performance, Puyallup Fair, Puyallup, WA. September 25, 2011; arockettothemoon_nspp.htm; l; https://farm7.static.flickr.com/6142/6190289771_5ba7c58274_m.jpg; arockettothemoon_nspp.jpg; 1494
The Downtown Fiction, Doormatt's Not So Private Performance, Puyallup Fair, Puyallup, WA. September 25, 2011; thedowntownfiction_nspp.htm; p; https://farm7.static.flickr.com/6154/6190278937_da18c81e0a_m.jpg; thedowntownfiction_nspp.jpg; 1495
Trace Adkins, Puyallup Fair, Puyallup, WA. September 23, 2011; traceadkins.htm; l; https://farm7.static.flickr.com/6169/6178279739_6982194262_m.jpg; traceadkins.jpg; 1496
Gloriana, Puyallup Fair, Puyallup, WA. September 23, 2011; gloriana_puyallup.htm; l; https://farm7.static.flickr.com/6168/6178800064_c32f688ee0_m.jpg; gloriana_puyallup.jpg; 1497
The Script, Neptune Theatre, Seattle, WA. September 21, 2011; thescript_neptune.htm; l; https://farm7.static.flickr.com/6174/6174192696_a5fc0f54b8_m.jpg; thescript_neptune.jpg; 1498
Hot Chelle Rae, Neptune Theatre, Seattle, WA. September 21, 2011; hotchellerae_neptune.htm; l; https://farm7.static.flickr.com/6153/6173660647_4727cf2521_m.jpg; hotchellerae_neptune.jpg; 1499
Big and Rich with Gretchen Wilson, Xtreme Muzik Tour, Puyallup Fair, Puyallup, WA. September 19th, 2011; bigandrichwithgretchenwilson.htm; l; https://farm7.static.flickr.com/6157/6168455416_400f425bbf_m.jpg; bigandrichwithgretchenwilson.jpg; 1500
