Five Finger Death Punch, American Capitalist Tour, Paramount Theatre, Seattle, WA. March 31, 2012; 2012/03/fivefingerdeathpunch/index.htm; l; https://farm8.staticflickr.com/7045/6891139832_6b207ff6a5_m.jpg; fivefingerdeathpunch.jpg
Soulfly, Five Finger Death Punch's American Capitalist Tour, Paramount Theatre, Seattle, WA. March 31, 2012; 2012/03/soulfly/index.htm; l; https://farm8.staticflickr.com/7269/6890917002_dfa7a6215c_m.jpg; soulfly.jpg
Gladys Knight, Snoqualmie Casino, Snoqualmie, WA. March 30, 2012; 2012/03/gladysknight/index.htm; l; https://farm8.staticflickr.com/7220/6890902570_63df5f30d9_m.jpg; gladysknight.jpg
Paul Rodgers, Snoqualmie Casino, North Bend, WA. March 29, 2012; 2012/03/paulrodgers/index.htm; l; https://farm7.staticflickr.com/6113/6884147440_2cb30dd0fb_m.jpg; paulrodgers.jpg
Young Jeezy, The Hustlerz Ambition Tour, Neptune Theatre, Seattle, WA. March 27, 2012; 2012/03/youngjeezy/index.htm; l; https://farm8.staticflickr.com/7235/6878844476_4954c4da98_m.jpg; youngjeezy.jpg
Kelly Clarkson, 2012 Stronger Tour, ShoWare Center, Kent, WA. March 22, 2012; 2012/03/kellyclarkson/index.htm; l; https://farm8.staticflickr.com/7184/7009181191_eb78a8593f_m.jpg; kellyclarkson.jpg
Lady Antebellum, Own The Night 2012 World Tour, Key Arena, Seattle, WA. March 20, 2012; 2012/03/ladyantebellum/index.htm; l; https://farm8.staticflickr.com/7190/7008922289_764c201a6e_m.jpg; ladyantebellum.jpg
Darius Rucker, Lady Antebellum's Own The Night 2012 World Tour, Key Arena, Seattle, WA. March 20, 2012; 2012/03/dariusrucker/index.htm; l; https://farm8.staticflickr.com/7269/7006347711_1f62e3a285_m.jpg; dariusrucker.jpg
Thompson Square, Lady Antebellum's Own The Night 2012 World Tour, Key Arena, Seattle, WA. March 20, 2012; 2012/03/thompsonsquare/index.htm; l; https://farm8.staticflickr.com/7242/7005978971_5cbfb0aa23_m.jpg; thompsonsquare.jpg
The Hunger Games Q&A, Microsoft Store at U Village, Seattle, WA. March 10, 2012; 2012/03/thehungergamesqa/index.htm; l; https://farm8.staticflickr.com/7205/6971533521_d156b6c593_m.jpg; thehungergamesqa.jpg
The Hunger Games Fans, Microsoft Store at U Village, Seattle, WA. March 10, 2012; 2012/03/thehungergamesfans/index.htm; l; https://farm8.staticflickr.com/7193/6825385828_03468b9896_m.jpg; thehungergamesfans.jpg
Blake Shelton, Well Lit and Amplified Tour 2012, Key Arena, Seattle, WA. March 9, 2012; 2012/03/blakeshelton/index.htm; p; (local); blakeshelton.png 
Justin Moore, Blake Shelton's Well Lit and Amplified Tour 2012, Key Arena, Seattle, WA. March 9, 2012; 2012/03/justinmoore/index.htm; l; (local); justinmoore.png
Dia Frampton, Blake Shelton's Well Lit and Amplified Tour 2012, Key Arena, Seattle, WA. March 9, 2012; 2012/03/diaframpton/index.htm; ; (local); diaframpton.png
