Jewel, Moore Theatre, Seattle, WA. May 30, 2013; 2013/05/jewel/index.htm; l; (local); jewel.jpg; 749
Steve Poltz, Moore Theatre, Seattle, WA. May 30, 2013; 2013/05/stevepoltz/index.htm; l; https://farm8.staticflickr.com/7286/9208448339_770a26729b_m.jpg; stevepoltz.jpg; 750
Atz Lee, Moore Theatre, Seattle, WA. May 30, 2013; 2013/05/atzlee/index.htm; l; https://farm3.staticflickr.com/2856/9208446725_24e0fc61b3_m.jpg; atzlee.jpg; 751
Joan Jett, Snoqualmie Casino, Snoqualmie, WA. May 27, 2013; 2013/05/joanjett/index.htm; l; (local); joanjett.jpg; 752
Macklemore and Ryan Lewis, Sasquatch! Music Festival 2013, The Gorge Amphitheatre, George, WA. May 24, 2013; 2013/05/macklemoreandryanlewis/index.htm; p; https://farm4.staticflickr.com/3827/8846484136_f448ff5e0d_m.jpg; macklemoreandryanlewis.jpg; 753
Sasquatch Music Festival 2013, The Gorge Amphitheatre, George, WA. May 24, 2013; 2013/05/sasquatchmusicfestival2013/index.htm; l; https://farm8.staticflickr.com/7352/8846231314_f288fbe55d_m.jpg; sasquatchmusicfestival2013.jpg; 754
Arctic Monkeys, Sasquatch! Music Festival 2013, The Gorge Amphitheatre, George, WA. May 24, 2013; 2013/05/arcticmonkeys/index.htm; l; https://farm9.staticflickr.com/8547/8842881972_7012d1c261_m.jpg; arcticmonkeys.jpg; 755
Brothers From Another, Sasquatch! Music Festival 2013, The Gorge Amphitheatre, George, WA. May 24, 2013; 2013/05/brothersfromanother/index.htm; l; https://farm4.staticflickr.com/3681/8842263795_256f93139e_m.jpg; brothersfromanother.jpg; 756
Built To Spill, Sasquatch! Music Festival 2013, The Gorge Amphitheatre, George, WA. May 24, 2013; 2013/05/builttospill/index.htm; p; https://farm9.staticflickr.com/8266/8842268541_bcaab3acc7_m.jpg; builttospill.jpg; 757
Erik Blood, Sasquatch! Music Festival 2013, The Gorge Amphitheatre, George, WA. May 24, 2013; 2013/05/erikblood/index.htm; l; https://farm6.staticflickr.com/5469/8842893694_6d93907723_m.jpg; erikblood.jpg; 758
Father John Misty, Sasquatch! Music Festival 2013, The Gorge Amphitheatre, George, WA. May 24, 2013; 2013/05/fatherjohnmisty/index.htm; l; https://farm6.staticflickr.com/5456/8845549455_e9f7290730_m.jpg; fatherjohnmisty.jpg; 759
Four Color Zack, Sasquatch! Music Festival 2013, The Gorge Amphitheatre, George, WA. May 24, 2013; 2013/05/fourcolorzack/index.htm; l; https://farm6.staticflickr.com/5336/8845571927_11c5256697_m.jpg; fourcolorzack.jpg; 760
Japandroids, Sasquatch! Music Festival 2013, The Gorge Amphitheatre, George, WA. May 24, 2013; 2013/05/japandroids/index.htm; l; https://farm4.staticflickr.com/3781/8846261154_a6b132f79c_m.jpg; japandroids.jpg; 761
Jherek Bischoff, Sasquatch! Music Festival 2013, The Gorge Amphitheatre, George, WA. May 24, 2013; 2013/05/jherekbischoff/index.htm; l; https://farm3.staticflickr.com/2855/8845645299_3c3d3eae1e_m.jpg; jherekbischoff.jpg; 762
Matthew Dear, Sasquatch! Music Festival 2013, The Gorge Amphitheatre, George, WA. May 24, 2013; 2013/05/matthewdear/index.htm; l; https://farm4.staticflickr.com/3754/8846274100_8e443e1d0b_m.jpg; matthewdear.jpg; 763
Nacho Picasso , Sasquatch! Music Festival 2013, The Gorge Amphitheatre, George, WA. May 24, 2013; 2013/05/nachopicasso/index.htm; l; https://farm4.staticflickr.com/3733/8846281022_ba70ba0022_m.jpg; nachopicasso.jpg; 764
Red Fang, Sasquatch! Music Festival 2013, The Gorge Amphitheatre, George, WA. May 24, 2013; 2013/05/redfang/index.htm; l; https://farm6.staticflickr.com/5441/8845669105_3426a7ffc2_m.jpg; redfang.jpg; 765
Reignwolf, Sasquatch! Music Festival 2013, The Gorge Amphitheatre, George, WA. May 24, 2013; 2013/05/reignwolf/index.htm; l; https://farm6.staticflickr.com/5330/8846300024_e5e865222f_m.jpg; reignwolf.jpg; 766
Sea Wolf, Sasquatch! Music Festival 2013, The Gorge Amphitheatre, George, WA. May 24, 2013; 2013/05/seawolf/index.htm; l; https://farm8.staticflickr.com/7342/8846303416_9474b615b3_m.jpg; seawolf.jpg; 767
Shelton Harris, Sasquatch! Music Festival 2013, The Gorge Amphitheatre, George, WA. May 24, 2013; 2013/05/sheltonharris/index.htm; l; https://farm3.staticflickr.com/2886/8845690853_02d124ec19_m.jpg; sheltonharris.jpg; 768
Strands of Oak, Sasquatch! Music Festival 2013, The Gorge Amphitheatre, George, WA. May 24, 2013; 2013/05/strandsofoak/index.htm; l; https://farm8.staticflickr.com/7412/8846317074_6a8a8a0dbc_m.jpg; strandsofoak.jpg; 769
Telekinesis, Sasquatch! Music Festival 2013, The Gorge Amphitheatre, George, WA. May 24, 2013; 2013/05/telekinesis/index.htm; l; https://farm4.staticflickr.com/3781/8846323166_72eb0d4ef8_m.jpg; telekinesis.jpg; 770
Vampire Weekend, Sasquatch! Music Festival 2013, The Gorge Amphitheatre, George, WA. May 24, 2013; 2013/05/vampireweekend/index.htm; l; https://farm4.staticflickr.com/3811/8845707347_4db5c43917_m.jpg; vampireweekend.jpg; 771
Youth Lagoon, Sasquatch! Music Festival 2013, The Gorge Amphitheatre, George, WA. May 24, 2013; 2013/05/youthlagoon/index.htm; l; https://farm8.staticflickr.com/7352/8846332676_42cf265e0b_m.jpg; youthlagoon.jpg; 772
ZZ Ward, Sasquatch! Music Festival 2013, The Gorge Amphitheatre, George, WA. May 24, 2013; 2013/05/zzward/index.htm; l; https://farm6.staticflickr.com/5466/8845720863_7d075a6da0_m.jpg; zzward.jpg; 773
Berlin, Snoqualmie Casino, Snoqualmie, WA. May 19, 2013; 2013/05/berlin/index.htm; l; https://farm6.staticflickr.com/5486/9118987645_65669298a5_m.jpg; berlin.jpg; 774
Scandal, Snoqualmie Casino, Snoqualmie, WA. May 19, 2013; 2013/05/scandal/index.htm; l; https://farm6.staticflickr.com/5500/9118971415_68eda76110_m.jpg; scandal.jpg; 775
Lonestar, 30th Annual Rotary Scholarship Show, Auburn Performing Arts Center, Auburn, WA. May 18, 2013; 2013/05/lonestar/index.htm; l; https://farm9.staticflickr.com/8403/8757129592_08b8ef47dd_m.jpg; lonestar.jpg; 776
Rae Solomon, 30th Annual Rotary Scholarship Show, Auburn Performing Arts Center, Auburn, WA. May 18, 2013; 2013/05/raesolomon/index.htm; l; https://farm9.staticflickr.com/8272/8756603020_01c9612302_m.jpg; raesolomon.jpg; 777
Al Jarreau, Snoqualmie Casino, Snoqualmie, WA. May 12, 2013; 2013/05/aljarreau/index.htm; l; https://farm8.staticflickr.com/7315/8746955004_fefa0e8525_m.jpg; aljarreau.jpg; 778
Kansas, Emerald Queen Casino I-5, Tacoma, WA. May 11, 2013; 2013/05/kansas/index.htm; l; https://farm8.staticflickr.com/7103/8731474121_2470f3ed36_m.jpg; kansas.jpg; 779
Flight To Mars, 11th Annual Flight To Mars Benefit, Showbox at the Market, Seattle, WA. May 10, 2013; 2013/05/flighttomars/index.htm; p; https://farm8.staticflickr.com/7133/8731456671_f4a4b561fa_m.jpg; flighttomars.jpg; 780
McCready and Friends Acoustic Medley, 11th Annual Flight To Mars Benefit, Showbox at the Market, Seattle, WA. May 10, 2013; 2013/05/mccreadyandfriendsacousticmedley/index.htm; l; https://farm8.staticflickr.com/7043/8732573908_008089a74d_m.jpg; mccreadyandfriendsacousticmedley.jpg; 781
Poor Moon, 11th Annual Flight To Mars Benefit, Showbox at the Market, Seattle, WA. May 10, 2013; 2013/05/poormoon/index.htm; l; https://farm8.staticflickr.com/7003/8731446609_41086f6427_m.jpg; poormoon.jpg; 782
Cassadee Pope, KMPS Vibe Room, Chihuly Garden and Glass, Seattle, WA. May 6, 2013; 2013/05/cassadeepope/index.htm; l; https://farm8.staticflickr.com/7404/8715757419_da3faf5060_m.jpg; cassadeepope.jpg; 783
Tieu Vuong Hoi, Snoqualmie Casino, Snoqualmie, WA. May 5, 2013; 2013/05/tieuvuonghoi/index.htm; l; https://farm9.staticflickr.com/8401/8745829919_21e24cb006_m.jpg; tieuvuonghoi.jpg; 784
