Zac Brown Band, The Gorge Amphitheatre, George, WA. September 27, 2014; 2014/09/zacbrownband/index.htm; l; https://farm3.staticflickr.com/2950/15211447049_6dcd895ab6_m.jpg; zacbrownband.jpg
Ryan Kinder, The Gorge Amphitheatre, George, WA. September 27, 2014; 2014/09/ryankinder/index.htm; l; https://farm4.staticflickr.com/3915/15211524300_7636c4c8c2_m.jpg; ryankinder.jpg
Alaina Blair, The Gorge Amphitheatre, George, WA. September 27, 2014; 2014/09/alainablair/index.htm; l; https://farm4.staticflickr.com/3844/15397846492_d986fa75ca_m.jpg; alainablair.jpg
Cassie Correlle, The Gorge Amphitheatre, George, WA. September 27, 2014; 2014/09/cassiecorrelle/index.htm; l; https://farm4.staticflickr.com/3858/15211515790_d13f77a137_m.jpg; cassiecorrelle.jpg
Boyz II Men, Snoqualmie Casino, Snoqualmie, WA. September 26, 2014; 2014/09/boyziimen/index.htm; l; https://farm4.staticflickr.com/3939/15471850401_61b07df4d9_m.jpg
Nick Jonas, 106.1 KISS-FM Private Performance, Carter Subaru Live Theater, Seattle, WA. September 22, 2014; 2014/09/nickjonas/index.htm; l; https://farm3.staticflickr.com/2949/15211548870_ce4422143b_m.jpg; nickjonas.jpg
Trace Adkins, Snoqualmie Casino, Snoqualmie, WA. September 21, 2014; 2014/09/traceadkins/index.htm; l; https://farm6.staticflickr.com/5599/15247097849_eb413d5577_m.jpg; traceadkins.jpg
Lindsey Stirling, 106.1 KISS-FM and 102.9 NOW Private Performance, Carter Subaru Live Theater, Seattle, WA. September 16, 2014; 2014/09/lindseystirling/index.htm; l; https://farm6.staticflickr.com/5566/15087649400_28ab95e84a_m.jpg; lindseystirling.jpg
Drake, Drake vs Lil Wayne, White River Amphitheatre, Auburn, WA. September 14, 2014; 2014/09/drake/index.htm; l; https://farm4.staticflickr.com/3848/15068480779_8358d16b25_m.jpg; drake.jpg
Lil Wayne, Drake vs Lil Wayne, White River Amphitheatre, Auburn, WA. September 14, 2014; 2014/09/lilwayne/index.htm; l; https://farm4.staticflickr.com/3879/15068479399_9c17b5e0ff_m.jpg; lilwayne.jpg
G-Eazy, Drake vs Lil Wayne, White River Amphitheatre, Auburn, WA. September 14, 2014; 2014/09/g-eazy/index.htm; l; https://farm4.staticflickr.com/3911/15255246115_9625c94346_m.jpg; g-eazy.jpg
Katy Perry, Prismatic World Tour 2014, Tacoma Dome, Tacoma, WA. September 13, 2014; 2014/09/katyperry/index.htm; l; https://farm4.staticflickr.com/3894/15252043671_42bdbbacac_m.jpg; katyperry.jpg
Tegan and Sara, Katy Perry's Prismatic World Tour 2014, KeyArena, Seattle, WA. September 13, 2014; 2014/09/teganandsara/index.htm; l; https://farm4.staticflickr.com/3948/15288336578_c204a23e0c_m.jpg
Ferras, Katy Perry's Prismatic World Tour 2014, KeyArena, Seattle, WA. September 13, 2014; 2014/09/ferras/index.htm; l; https://farm4.staticflickr.com/3938/15451886636_c2041347a3_m.jpg
Cody Simpson, Washington State Fair 2014, Washington State Fair Grounds, Puyallup, WA. September 10, 2014; 2014/09/codysimpson/index.htm; l; https://farm4.staticflickr.com/3889/15026921407_0634d7055d_m.jpg; codysimpson.jpg
MKTO, Washington State Fair 2014, Washington State Fair Grounds, Puyallup, WA. September 10, 2014; 2014/09/mkto/index.htm; l; https://farm4.staticflickr.com/3885/15026796740_49d3e5b259_m.jpg; mkto.jpg
Jennifer Nettles, Washington State Fair 2014 Concert Series, Washington State Fair, Puyallup, WA. September 8, 2014; 2014/09/jennifernettles/index.htm; l; https://farm4.staticflickr.com/3885/15008908677_59bfe5eaed_m.jpg; jennifernettles.jpg
Brandy Clark, Washington State Fair 2014 Concert Series, Washington State Fair, Puyallup, WA. September 8, 2014; 2014/09/brandyclark/index.htm; l; https://farm6.staticflickr.com/5593/15195103902_64f6bb791d_m.jpg; brandyclark.jpg
