David Guetta at the Space Needle, Space Needle, Seattle, WA. October 28, 2014; 2014/10/davidguettaatthespaceneedle/index.htm; l; https://farm8.staticflickr.com/7463/15640245616_4e2cb2343e_m.jpg
Big K.R.I.T., Pay Attention Tour, The Showbox, Seattle, WA. October 27, 2014; 2014/10/bigk.r.i.t./index.htm; l; https://farm4.staticflickr.com/3945/15478005217_7c7c96247a_m.jpg
Chromeo, White Women Tour, Showbox SoDo, Seattle, WA. October 26, 2014; 2014/10/chromeo/index.htm; l; https://farm8.staticflickr.com/7515/15663974985_20f9a59c60_m.jpg
Chase Rice, Ignite The Night Tour, Showbox SoDo, Seattle, WA. October 25, 2014; 2014/10/chaserice/index.htm; l; https://farm8.staticflickr.com/7470/15043216494_3b739f874f_m.jpg
Old Dominion, Ignite The Night Tour, Showbox SoDo, Seattle, WA. October 25, 2014; 2014/10/olddominion/index.htm; l; https://farm4.staticflickr.com/3952/15477999397_a85949602f_m.jpg
Phillip Phillips, Xfinity Arena, Everett, WA. October 21, 2014; 2014/10/phillipphillips/index.htm; l; https://farm4.staticflickr.com/3943/15621730442_b9091f2eff_m.jpg
Christian Burghardt, Xfinity Arena, Everett, WA. October 21, 2014; 2014/10/christianburghardt/index.htm; l; https://farm6.staticflickr.com/5611/15000125534_66b58c3c5a_m.jpg
Tinh - Colors of Love, Snoqualmie Casino, Snoqualmie, WA. October 12, 2014; 2014/10/tinh-colorsoflove/index.htm; l; https://farm4.staticflickr.com/3933/15358182019_87d8525ef9_m.jpg; tinh-colorsoflove.jpg
Twenty One Pilots, Quiet Is Violent World Tour, Neptune Theater, Seattle, WA. October 10, 2014; 2014/10/twentyonepilots/index.htm; l; https://farm4.staticflickr.com/3945/15506459371_3e3fc4a40c_m.jpg; twentyonepilots.jpg
Echosmith, Honda Civic Tour, The Showbox, Seattle, WA. October 9, 2014; 2014/10/echosmith/index.htm; l; https://farm4.staticflickr.com/3931/15519760945_2ebf465d20_m.jpg; echosmith.jpg
Randy Houser, 94.1 KMPS 12 Man Jam, Emerald Queen Casino, Tacoma, WA. October 8, 2014; 2014/10/randyhouser/index.htm; l; https://farm4.staticflickr.com/3953/14924735843_1101a88748_m.jpg; randyhouser.jpg
Frankie Ballard, 94.1 KMPS 12 Man Jam, Emerald Queen Casino, Tacoma, WA. October 8, 2014; 2014/10/frankieballard/index.htm; l; https://farm6.staticflickr.com/5608/15358902397_0887907222_m.jpg; frankieballard.jpg
Josh Thompson, 94.1 KMPS 12 Man Jam, Emerald Queen Casino, Tacoma, WA. October 8, 2014; 2014/10/joshthompson/index.htm; l; https://farm4.staticflickr.com/3949/15358275439_0c17b60473_m.jpg; joshthompson.jpg
Sweetwater Rain, 94.1 KMPS 12 Man Jam, Emerald Queen Casino, Tacoma, WA. October 8, 2014; 2014/10/sweetwaterrain/index.htm; l; https://farm6.staticflickr.com/5604/15544899225_1634e7d21a_m.jpg; sweetwaterrain.jpg
Dean Alexander, 94.1 KMPS 12 Man Jam, Emerald Queen Casino, Tacoma, WA. October 8, 2014; 2014/10/deanalexander/index.htm; l; https://farm4.staticflickr.com/3928/15521200356_778bfa35e3_m.jpg; deanalexander.jpg
RaeLynn, 94.1 KMPS 12 Man Jam, Emerald Queen Casino, Tacoma, WA. October 8, 2014; 2014/10/raelynn/index.htm; l; https://farm6.staticflickr.com/5599/14924143754_3bb544cbab_m.jpg; raelynn.jpg
Scotty McCreery, 94.1 KMPS 12 Man Jam, Emerald Queen Casino, Tacoma, WA. October 8, 2014; 2014/10/scottymccreery/index.htm; l; https://farm4.staticflickr.com/3938/15521515976_a3d5487eac_m.jpg; scottymccreery.jpg
Jackie Lee, 94.1 KMPS 12 Man Jam, Emerald Queen Casino, Tacoma, WA. October 8, 2014; 2014/10/jackielee/index.htm; l; https://farm4.staticflickr.com/3936/14924139654_be345c2623_m.jpg; jackielee.jpg
Native Run, 94.1 KMPS 12 Man Jam, Emerald Queen Casino, Tacoma, WA. October 8, 2014; 2014/10/nativerun/index.htm; l; https://farm4.staticflickr.com/3943/14924137004_01a48a9547_m.jpg; nativerun.jpg
Kristian Bush, 94.1 KMPS 12 Man Jam, Emerald Queen Casino, Tacoma, WA. October 8, 2014; 2014/10/kristianbush/index.htm; l; https://farm4.staticflickr.com/3944/15521177806_f9e59f841b_m.jpg; kristianbush.jpg
Katie Armiger, 94.1 KMPS 12 Man Jam, Emerald Queen Casino, Tacoma, WA. October 8, 2014; 2014/10/katiearmiger/index.htm; l; https://farm4.staticflickr.com/3956/15545714242_7f7496c2c1_m.jpg; katiearmiger.jpg
Jon Pardi, 94.1 KMPS 12 Man Jam, Emerald Queen Casino, Tacoma, WA. October 8, 2014; 2014/10/jonpardi/index.htm; l; https://farm4.staticflickr.com/3938/15359232700_a7834132e1_m.jpg; jonpardi.jpg
Lily Allen, Paramount Theater, Seattle, WA. October 4, 2014; 2014/10/lilyallen/index.htm; l; https://farm4.staticflickr.com/3949/15451876716_01da252159_m.jpg; lilyallen.jpg
Lolawolf, Paramount Theater, Seattle, WA. October 4, 2014; 2014/10/lolawolf/index.htm; l; https://farm6.staticflickr.com/5606/15474612812_73ca7cb2ed_m.jpg; lolawolf.jpg
Demi Lovato, Xfinity Arena, Everett, WA. October 2, 2014; 2014/10/demilovato/index.htm; l; https://farm6.staticflickr.com/5601/15410830586_6212dd0436_m.jpg; demilovato.jpg
Christina Perri, Xfinity Arena, Everett, WA. October 2, 2014; 2014/10/christinaperri/index.htm; l; https://farm6.staticflickr.com/5598/15247278528_46ea36a475_m.jpg; christinaperri.jpg
MKTO, Xfinity Arena, Everett, WA. October 2, 2014; 2014/10/mkto/index.htm; l; https://farm4.staticflickr.com/3930/15433523672_8b74133cc5_m.jpg; mkto.jpg
