Usher, UR Experience Tour, KeyArena, Seattle, WA. November 25, 2014; 2014/11/usher/index.htm; l; (local); usher.jpg; 630
August Alsina, UR Experience World Tour, KeyArena, Seattle, WA. November 26, 2014; 2014/11/augustalsina/index.htm; l; https://farm9.staticflickr.com/8653/16126141206_7b395e2d0e_m.jpg; augustalsina.jpg; 631
DJ Cassidy, UR Experience World Tour, KeyArena, Seattle, WA. November 26, 2014; 2014/11/djcassidy/index.htm; l; https://farm8.staticflickr.com/7551/15965856829_5fb5fc6dce_m.jpg; djcassidy.jpg; 632
Bastille, KeyArena, Seattle, WA. November 25, 2014; 2014/11/bastille/index.htm; l; https://farm8.staticflickr.com/7565/16083224925_97b10fcc9f_m.jpg; bastille.jpg; 633
Grizfolk, KeyArena, Seattle, WA. November 25, 2014; 2014/11/grizfolk/index.htm; l; https://farm8.staticflickr.com/7561/15463548583_e76d8690b9_m.jpg; grizfolk.jpg; 634
G-Eazy, From The Bay To The Universe Tour, Showbox SoDo, Seattle, WA. November 24, 2014; 2014/11/geazy/index.htm; l; https://farm8.staticflickr.com/7571/15897093689_6067fed547_m.jpg; geazy.jpg; 635
E-40, G-Eazy's From The Bay To The Universe Tour, Showbox SoDo, Seattle, WA. November 24, 2014; 2014/11/e40/index.htm; l; https://farm8.staticflickr.com/7479/15895732588_0d505b85ab_m.jpg; e40.jpg; 636
Alaska Hometown Hangar, Seahawks vs Cardinals, Century Link Field, Seattle, WA. November 23, 2014; 2014/11/alaskahometownhangar/index.htm; l; https://farm8.staticflickr.com/7488/16081339541_64c69381f8_m.jpg; alaskahometownhangar.jpg; 637
Judas Priest, Tacoma Dome, Tacoma, WA. November 22, 2014; 2014/11/judaspriest/index.htm; l; https://farm8.staticflickr.com/7581/16082391671_372f2d9cd7_m.jpg; judaspriest.jpg; 638
Steel Panther, Tacoma Dome, Tacoma, WA. November 22, 2014; 2014/11/steelpanther/index.htm; l; https://farm9.staticflickr.com/8621/15463693473_d6bd8510fa_m.jpg; steelpanther.jpg; 639
Fleetwood Mac, Tacoma Dome, Tacoma, WA. November 20, 2014; 2014/11/fleetwoodmac/index.htm; l; (local); fleetwoodmac.jpg; 640
Vance Joy, Carter Subaru Live Theater, Seattle, WA. November 17, 2014; 2014/11/vancejoy/index.htm; l; https://farm6.staticflickr.com/5614/15831567865_9c8744213b_m.jpg; vancejoy.jpg; 641
Capital Cities, Showbox SoDo, Seattle, WA. November 16, 2014; 2014/11/capitalcities/index.htm; l; https://farm9.staticflickr.com/8579/15646316817_389689d507_m.jpg; capitalcities.jpg; 642
Disney On Ice, Let's Celebrate!, ShoWare Center, Kent, WA. November 16, 2014; 2014/11/disneyonice/index.htm; l; https://farm9.staticflickr.com/8533/15212130263_a2ea3b8052_m.jpg; disneyonice.jpg; 643
Lights, Little Machines Tour, The Showbox, Seattle, WA. November 15, 2014; 2014/11/lights/index.htm; l; https://farm8.staticflickr.com/7469/15829576111_415cb56181_m.jpg; lights.jpg; 644
Wild Party, Lights' Little Machines Tour, The Showbox, Seattle, WA. November 15, 2014; 2014/11/wildparty/index.htm; l; https://farm8.staticflickr.com/7508/15807806966_25523d278d_m.jpg; wildparty.jpg; 645
Asleep at the Wheel, Snoqualmie Casino, Snoqualmie, WA. November 13, 2014; 2014/11/asleepatthewheel/index.htm; l; https://farm9.staticflickr.com/8603/15645731399_7cbc7bc609_m.jpg; asleepatthewheel.jpg; 646
Tegan and Sara, Let’s Make Things Physical Tour, Paramount Theatre, Seattle, WA. November 11, 2014; 2014/11/teganandsara/index.htm; l; https://farm9.staticflickr.com/8674/15777831075_65961946ed_m.jpg; teganandsara.jpg; 647
Waters, Tegan and Sara's Let’s Make Things Physical Tour, Paramount Theatre, Seattle, WA. November 11, 2014; 2014/11/waters/index.htm; l; https://farm8.staticflickr.com/7513/15592393868_697873a880_m.jpg; waters.jpg; 648
Little River Band, Snoqualmie Casino, Snoqualmie, WA. November 7, 2014; 2014/11/littleriverband2/index.htm; l; https://farm9.staticflickr.com/8134/15807895266_7a96460cd4_m.jpg; littleriverband2.jpg; 649
Little River Band, Snoqualmie Casino, Snoqualmie, WA. November 6, 2014; 2014/11/littleriverband/index.htm; l; https://farm8.staticflickr.com/7560/15738698716_c721e667e2_m.jpg; littleriverband.jpg; 650
B.o.B, Studio 93, Seattle, WA. November 5, 2014; 2014/11/bobstudio93/index.htm; l; https://farm8.staticflickr.com/7549/15142990443_a15c33833c_m.jpg; bobstudio93.jpg; 651
B.o.B, Neumos, Seattle, WA. November 5, 2014; 2014/11/bob/index.htm; l; https://farm6.staticflickr.com/5602/15577599970_b9341fa183_m.jpg; bob.jpg; 652
Kevin Gates, Neumos, Seattle, WA. November 5, 2014; 2014/11/kevingates/index.htm; l; https://farm6.staticflickr.com/5614/15142435224_f4475d9ba3_m.jpg; kevingates.jpg; 653
