Chris Brown, Dope Music Festival 2014, Tacoma Dome, Tacoma, WA. December 13, 2014; 2014/12/chrisbrown/index.htm; l; https://farm8.staticflickr.com/7466/15412985813_82051099d7_m.jpg
Schoolboy Q, Dope Music Festival 2014, Tacoma Dome, Tacoma, WA. December 13, 2014; 2014/12/schoolboyq/index.htm; l; https://farm8.staticflickr.com/7487/15846879317_45f25c3dc3_m.jpg
Tyga, Dope Music Festival 2014, Tacoma Dome, Tacoma, WA. December 13, 2014; 2014/12/tyga/index.htm; l; https://farm8.staticflickr.com/7477/15846592299_c17de4d2fd_m.jpg
Clemm Rishad, Dope Music Festival 2014, Tacoma Dome, Tacoma, WA. December 13, 2014; 2014/12/clemmrishad/index.htm; l; https://farm8.staticflickr.com/7579/15845361640_0cf008736d_m.jpg
Devin The Dude, Dope Music Festival 2014, Tacoma Dome, Tacoma, WA. December 13, 2014; 2014/12/devinthedude/index.htm; l; https://farm8.staticflickr.com/7566/15410368214_722b43eda0_m.jpg
Will Jordan, Dope Music Festival 2014, Tacoma Dome, Tacoma, WA. December 13, 2014; 2014/12/willjordan/index.htm; l; https://farm8.staticflickr.com/7478/15846888947_522cf4a1d7_m.jpg
Nate Jackson, Dope Music Festival 2014, Tacoma Dome, Tacoma, WA. December 13, 2014; 2014/12/natejackson/index.htm; l; https://farm9.staticflickr.com/8585/16006863766_b1b5cdfa07_m.jpg
Randy Houser, 100.7 The Wolf's Hometown Holiday 2014, ShoWare Center, Kent, WA. December 10, 2014; 2014/12/randyhouser/index.htm; l; https://farm8.staticflickr.com/7518/15847196809_de670cfc24_m.jpg; randyhouser.jpg
Lee Brice, 100.7 The Wolf's Hometown Holiday 2014, ShoWare Center, Kent, WA. December 10, 2014; 2014/12/leebrice/index.htm; l; https://farm9.staticflickr.com/8643/15845802338_972e012b44_m.jpg; leebrice.jpg
David Nail, 100.7 The Wolf's Hometown Holiday 2014, ShoWare Center, Kent, WA. December 10, 2014; 2014/12/davidnail/index.htm; l; https://farm8.staticflickr.com/7496/16007447976_70db0c6449_m.jpg; davidnail.jpg
Craig Morgan, 100.7 The Wolf's Hometown Holiday 2014, ShoWare Center, Kent, WA. December 10, 2014; 2014/12/craigmorgan/index.htm; l; https://farm9.staticflickr.com/8602/15410961264_bd7ab48223_m.jpg; craigmorgan.jpg
