The Voice, A Vietnamese Concert, Snoqualmie Casino, Snoqualmie, WA. December 28, 2014; 2014/12/thevoice/index.htm; l; https://farm9.staticflickr.com/8634/16488651649_e4e126acac_m.jpg
Patti LaBelle, Snoqualmie Casino, Snoqualmie, WA. December 21, 2014; 2014/12/pattilabelle/index.htm; l; https://farm9.staticflickr.com/8583/16151244282_676075bb12_m.jpg; pattilabelle.jpg
One Big KISS Radiothon 2014, Seattle Children's Hospital, Seattle, WA. December 17, 2014; 2014/12/onebigkissradiothon2014/index.htm; l; https://farm9.staticflickr.com/8574/16488730699_e586ff1fe7_m.jpg
Spike and The Impalers, Bob Rivers Twisted Christmas 2014, Snoqualmie Casino, Snoqualmie, WA. December 12, 2014; 2014/12/spikeandtheimpalers/index.htm; l; https://farm8.staticflickr.com/7492/16087360391_700ff70ca5_m.jpg; spikeandtheimpalers.jpg
Judah Friedlander, Bob Rivers Twisted Christmas 2014, Snoqualmie Casino, Snoqualmie, WA. December 12, 2014; 2014/12/judahfriedlander/index.htm; l; https://farm8.staticflickr.com/7575/15469593903_a5eb98bf2a_m.jpg; judahfriedlander.jpg
1964 The Tribute, ShoWare Center, Kent, WA. December 11, 2014; 2014/12/1964thetribute/index.htm; l; https://farm8.staticflickr.com/7557/16087398431_0af33756da_m.jpg; 1964thetribute.jpg
Chris Brown, Dope Music Festival 2014, Tacoma Dome, Tacoma, WA. December 13, 2014; 2014/12/chrisbrown/index.htm; l; https://farm8.staticflickr.com/7466/15412985813_82051099d7_m.jpg; chrisbrown.jpg
Schoolboy Q, Dope Music Festival 2014, Tacoma Dome, Tacoma, WA. December 13, 2014; 2014/12/schoolboyq/index.htm; l; https://farm8.staticflickr.com/7487/15846879317_45f25c3dc3_m.jpg; schoolboyq.jpg
Tyga, Dope Music Festival 2014, Tacoma Dome, Tacoma, WA. December 13, 2014; 2014/12/tyga/index.htm; l; https://farm8.staticflickr.com/7477/15846592299_c17de4d2fd_m.jpg; tyga.jpg
Clemm Rishad, Dope Music Festival 2014, Tacoma Dome, Tacoma, WA. December 13, 2014; 2014/12/clemmrishad/index.htm; l; https://farm8.staticflickr.com/7579/15845361640_0cf008736d_m.jpg; clemmrishad.jpg
Devin The Dude, Dope Music Festival 2014, Tacoma Dome, Tacoma, WA. December 13, 2014; 2014/12/devinthedude/index.htm; l; https://farm8.staticflickr.com/7566/15410368214_722b43eda0_m.jpg; devinthedude.jpg
Will Jordan, Dope Music Festival 2014, Tacoma Dome, Tacoma, WA. December 13, 2014; 2014/12/willjordan/index.htm; l; https://farm8.staticflickr.com/7478/15846888947_522cf4a1d7_m.jpg; willjordan.jpg
Nate Jackson, Dope Music Festival 2014, Tacoma Dome, Tacoma, WA. December 13, 2014; 2014/12/natejackson/index.htm; l; https://farm9.staticflickr.com/8585/16006863766_b1b5cdfa07_m.jpg; natejackson.jpg
Randy Houser, 100.7 The Wolf's Hometown Holiday 2014, ShoWare Center, Kent, WA. December 10, 2014; 2014/12/randyhouser/index.htm; l; https://farm8.staticflickr.com/7518/15847196809_de670cfc24_m.jpg; randyhouser.jpg
Lee Brice, 100.7 The Wolf's Hometown Holiday 2014, ShoWare Center, Kent, WA. December 10, 2014; 2014/12/leebrice/index.htm; l; https://farm9.staticflickr.com/8643/15845802338_972e012b44_m.jpg; leebrice.jpg
David Nail, 100.7 The Wolf's Hometown Holiday 2014, ShoWare Center, Kent, WA. December 10, 2014; 2014/12/davidnail/index.htm; l; https://farm8.staticflickr.com/7496/16007447976_70db0c6449_m.jpg; davidnail.jpg
Craig Morgan, 100.7 The Wolf's Hometown Holiday 2014, ShoWare Center, Kent, WA. December 10, 2014; 2014/12/craigmorgan/index.htm; l; https://farm9.staticflickr.com/8602/15410961264_bd7ab48223_m.jpg; craigmorgan.jpg
Imagine Dragons, 107.7 The End's Deck The Hall Ball 2014, KeyArena, Seattle, WA. December 9, 2014; 2014/12/imaginedragons/index.htm; l; https://farm9.staticflickr.com/8634/16075018145_cb568d76f0_m.jpg; imaginedragons.jpg
Weezer, 107.7 The End's Deck The Hall Ball 2014, KeyArena, Seattle, WA. December 9, 2014; 2014/12/weezer/index.htm; l; https://farm9.staticflickr.com/8619/15889284277_6386cec94e_m.jpg; weezer.jpg
Cage The Elephant, 107.7 The End's Deck The Hall Ball 2014, KeyArena, Seattle, WA. December 9, 2014; 2014/12/cagetheelephant/index.htm; l; https://farm8.staticflickr.com/7528/15887735920_98d688d5e1_m.jpg; cagetheelephant.jpg
Young the Giant, 107.7 The End's Deck The Hall Ball 2014, KeyArena, Seattle, WA. December 9, 2014; 2014/12/youngthegiant/index.htm; l; https://farm8.staticflickr.com/7472/15455393233_17daf4d5d2_m.jpg; youngthegiant.jpg
TV on the Radio, 107.7 The End's Deck The Hall Ball 2014, KeyArena, Seattle, WA. December 9, 2014; 2014/12/tvontheradio/index.htm; l; https://farm8.staticflickr.com/7534/15887601108_ab6609c700_m.jpg; tvontheradio.jpg
Kongos, 107.7 The End's Deck The Hall Ball 2014, KeyArena, Seattle, WA. December 9, 2014; 2014/12/kongos/index.htm; l; https://farm9.staticflickr.com/8586/16073099801_a34d861df3_m.jpg; kongos.jpg
Vance Joy, 107.7 The End's Deck The Hall Ball 2014, KeyArena, Seattle, WA. December 9, 2014; 2014/12/vancejoy/index.htm; l; https://farm8.staticflickr.com/7524/15887763770_42cd68d382_m.jpg; vancejoy.jpg
Royal Bloods, 107.7 The End's Deck The Hall Ball 2014, KeyArena, Seattle, WA. December 9, 2014; 2014/12/royalbloods/index.htm; l; https://farm9.staticflickr.com/8650/15455369563_e67c8394de_m.jpg; royalbloods.jpg
Jeezy, Seen It All Tour, Showbox SoDo, Seattle, WA. December 6, 2014; 2014/12/jeezy/index.htm; l; https://farm8.staticflickr.com/7491/16082417432_ed135f91da_m.jpg; jeezy.jpg
Queensryche, Snoqualmie Casino, Snoqualmie, WA. December 5, 2014; 2014/12/queensryche/index.htm; l; https://farm8.staticflickr.com/7546/16081419441_a8c51cd8b5_m.jpg; queensryche.jpg
Pamela Moore, Snoqualmie Casino, Snoqualmie, WA. December 5, 2014; 2014/12/pamelamoore/index.htm; l; https://farm8.staticflickr.com/7562/16081364781_bd1da17fa5_m.jpg; pamelamoore.jpg
