J Cole, Forest Hills Drive Tour, Act 3 - Hollywood, White River Amphitheatre, WA. July 12, 2015; 2015/07/jcole/index.htm; l; https://farm1.staticflickr.com/547/19786080282_28b5b1bd98_m.jpg
Big Sean, J. Cole's Forest Hills Drive Tour, Act 3 - Hollywood, White River Amphitheatre, WA. July 12, 2015; 2015/07/bigsean/index.htm; l; https://farm1.staticflickr.com/360/19767100366_732d036f71_m.jpg
YG, J. Cole's Forest Hills Drive Tour, Act 3 - Hollywood, White River Amphitheatre, WA. July 12, 2015; 2015/07/yg/index.htm; l; https://farm1.staticflickr.com/541/19793252055_ec4a211ed2_m.jpg
Jeremih, J. Cole's Forest Hills Drive Tour, Act 3 - Hollywood, White River Amphitheatre, WA. July 12, 2015; 2015/07/jeremih/index.htm; l; https://farm1.staticflickr.com/347/19172374413_34b0519f44_m.jpg
Bas, J. Cole's Forest Hills Drive Tour, Act 3 - Hollywood, White River Amphitheatre, WA. July 12, 2015; 2015/07/bas/index.htm; l; https://farm4.staticflickr.com/3693/19605209850_1a1ec9461f_m.jpg
Cozz, J. Cole's Forest Hills Drive Tour, Act 3 - Hollywood, White River Amphitheatre, WA. July 12, 2015; 2015/07/cozz/index.htm; l; https://farm1.staticflickr.com/385/19785936582_e1e63179d5_m.jpg
Omen, J. Cole's Forest Hills Drive Tour, Act 3 - Hollywood, White River Amphitheatre, WA. July 12, 2015; 2015/07/omen/index.htm; l; https://farm4.staticflickr.com/3826/19793222235_59a9e1fc95_m.jpg
One Direction, Honda Civic Tour - On The Road Again Tour, Century Link Field, WA. July 15, 2015; 2015/07/onedirection/index.htm; l; https://farm4.staticflickr.com/3726/19766995576_c23d5b008d_m.jpg
Icona Pop, Honda Civic Tour - One Direction's On The Road Again Tour, Century Link Field, WA. July 15, 2015; 2015/07/iconapop/index.htm; l; https://farm1.staticflickr.com/402/19605064710_bb02ffcd92_m.jpg
Dez Money and The Faze, Snoqualmie Casino, WA. July 16, 2015; 2015/07/dezmoneyandthefaze/index.htm; l; https://farm1.staticflickr.com/318/19797836341_b0fe6752ab_m.jpg
Eddie Money, Snoqualmie Casino, WA. July 16, 2015; 2015/07/eddiemoney/index.htm; l; https://farm1.staticflickr.com/454/19766859376_f97caacc2b_m.jpg
