Big Sean, iHeartRadio Daytime Village, Las Vegas Village, Las Vegas, NV. September 19, 2015; 2015/09/bigsean/index.htm; l; https://c1.staticflickr.com/1/636/21616062645_15a16632d9_m.jpg
Demi Lovato, iHeartRadio Daytime Village, Las Vegas Village, Las Vegas, NV. September 19, 2015; 2015/09/demilovato/index.htm; l; https://c2.staticflickr.com/6/5623/21427971840_3610bfb4be_m.jpg
Echosmith, iHeartRadio Daytime Village, Las Vegas Village, Las Vegas, NV. September 19, 2015; 2015/09/echosmith/index.htm; l; https://c2.staticflickr.com/6/5674/21427973010_9757abcbf0_m.jpg
Hailee Steinfeld, iHeartRadio Daytime Village, Las Vegas Village, Las Vegas, NV. September 19, 2015; 2015/09/haileesteinfeld/index.htm; l; https://c2.staticflickr.com/6/5693/21604620452_e50e4d79e7_m.jpg
Hozier, iHeartRadio Daytime Village, Las Vegas Village, Las Vegas, NV. September 19, 2015; 2015/09/hozier/index.htm; l; https://c1.staticflickr.com/1/611/21429084619_cf7885364c_m.jpg
James Bay, iHeartRadio Daytime Village, Las Vegas Village, Las Vegas, NV. September 19, 2015; 2015/09/jamesbay/index.htm; l; https://c1.staticflickr.com/1/666/21616073415_66508eef94_m.jpg
Lee Brice, iHeartRadio Daytime Village, Las Vegas Village, Las Vegas, NV. September 19, 2015; 2015/09/leebrice/index.htm; l; https://c1.staticflickr.com/1/592/20994888813_9763dddb49_m.jpg
Nick Jonas, iHeartRadio Daytime Village, Las Vegas Village, Las Vegas, NV. September 19, 2015; 2015/09/nickjonas/index.htm; l; https://c1.staticflickr.com/1/627/20993199264_9257ae6798_m.jpg
Shawn Mendes, iHeartRadio Daytime Village, Las Vegas Village, Las Vegas, NV. September 19, 2015; 2015/09/shawnmendes/index.htm; l; https://c1.staticflickr.com/1/718/21604630382_8b7bb10802_m.jpg
George Ezra, iHeartRadio Daytime Village, Las Vegas Village, Las Vegas, NV. September 19, 2015; 2015/09/georgeezra/index.htm; l; https://c1.staticflickr.com/1/664/21604619202_d90eb4da1b_m.jpg
The Strokes, iHeartRadio Daytime Village, Las Vegas Village, Las Vegas, NV. September 19, 2015; 2015/09/thestrokes/index.htm; l; https://c1.staticflickr.com/1/670/21616080795_65edd5cb8d_m.jpg
Tori Kelly, iHeartRadio Daytime Village, Las Vegas Village, Las Vegas, NV. September 19, 2015; 2015/09/torikelly/index.htm; l; https://c2.staticflickr.com/6/5755/21604633382_de1794337a_m.jpg
Tove Lo, iHeartRadio Daytime Village, Las Vegas Village, Las Vegas, NV. September 19, 2015; 2015/09/tovelo/index.htm; l; https://c1.staticflickr.com/1/771/21427990870_044033dab9_m.jpg
Trey Songz, iHeartRadio Daytime Village, Las Vegas Village, Las Vegas, NV. September 19, 2015; 2015/09/treysongz/index.htm; l; https://c1.staticflickr.com/1/659/21624931641_d30098b1b2_m.jpg
Walk The Moon, iHeartRadio Daytime Village, Las Vegas Village, Las Vegas, NV. September 19, 2015; 2015/09/walkthemoon/index.htm; l; https://c1.staticflickr.com/1/757/21428191198_56901080ec_m.jpg
Zella Day, iHeartRadio Daytime Village, Las Vegas Village, Las Vegas, NV. September 19, 2015; 2015/09/zelladay/index.htm; l; https://c2.staticflickr.com/6/5822/21427995410_0dbb982a50_m.jpg
Clayton English, Last Comic Standing Tour, Snoqualmie Casino, Snoqualmie, WA. September 13, 2015; 2015/09/claytonenglish/index.htm; l; https://farm1.staticflickr.com/620/21240654488_d0b9cb1585_m.jpg; claytonenglish.jpg
Michael Palascak, Last Comic Standing Tour, Snoqualmie Casino, Snoqualmie, WA. September 13, 2015; 2015/09/michaelpalascak/index.htm; l; https://farm6.staticflickr.com/5622/21428464995_9f15786fd0_m.jpg; michaelpalascak.jpg
Dominique, Last Comic Standing Tour, Snoqualmie Casino, Snoqualmie, WA. September 13, 2015; 2015/09/dominique/index.htm; l; https://farm6.staticflickr.com/5755/21436911731_00216582ca_m.jpg; dominique.jpg
Ian Bagg, Last Comic Standing Tour, Snoqualmie Casino, Snoqualmie, WA. September 13, 2015; 2015/09/ianbagg/index.htm; l; https://farm6.staticflickr.com/5750/21428463255_0d15574822_m.jpg; ianbagg.jpg
Andi Erikson, Last Comic Standing Tour, Snoqualmie Casino, Snoqualmie, WA. September 13, 2015; 2015/09/andierikson/index.htm; l; https://farm6.staticflickr.com/5739/21436909101_7cde414450_m.jpg; andierikson.jpg
Lee Brice, Evergreen State Fair, Monroe, WA. September 2, 2015; 2015/09/leebrice/index.htm; l; https://farm6.staticflickr.com/5683/20807505773_98d5645d28_m.jpg; leebrice.jpg
