Sergio Mendes, Snoqualmie Casino, Snoqualmie , WA. October 29, 2015; 2015/10/sergiomendes/index.htm; l; https://c2.staticflickr.com/6/5798/22833214476_597a8cd58d_m.jpg
Florence and The Machine, KeyArena, Seattle, WA. October 27, 2015; 2015/10/florenceandthemachine/index.htm; l; https://c2.staticflickr.com/6/5683/22376245699_33c20ece4a_m.jpg; florenceandthemachine.jpg
The Ghost of a Saber Tooth Tiger, KeyArena, Seattle, WA. October 27, 2015; 2015/10/theghostofasabertoothtiger/index.htm; l; https://c1.staticflickr.com/1/771/21940258744_be7479cd7e_m.jpg; theghostofasabertoothtiger.jpg
Breaking Benjamin, Xfinity Arena, Everett, WA. October 25, 2015; 2015/10/breakingbenjamin/index.htm; l; https://c1.staticflickr.com/1/665/22549591662_a894065687_m.jpg; breakingbenjamin.jpg
Nothing More, Xfinity Arena, Everett, WA. October 25, 2015; 2015/10/nothingmore/index.htm; l; https://c1.staticflickr.com/1/739/21940441934_2aa372e480_m.jpg; nothingmore.jpg
Twenty One Pilots, Blurryface Tour, Paramount Theatre, Seattle, WA. October 22, 2015; 2015/10/twentyonepilots/index.htm; l; https://c2.staticflickr.com/6/5661/22265961178_525be21095_m.jpg; twentyonepilots.jpg
Echosmith, Twenty One Pilots Blurryface Tour, Paramount Theatre, Seattle, WA. October 22, 2015; 2015/10/echosmith/index.htm; l; https://c2.staticflickr.com/6/5686/22440336292_8014175076_m.jpg; echosmith.jpg
Finish Ticket, Twenty One Pilots Blurryface Tour, Paramount Theatre, Seattle, WA. October 22, 2015; 2015/10/finishticket/index.htm; l; https://c1.staticflickr.com/1/579/22464593471_0315a3728e_m.jpg; finishticket.jpg
Troye Sivan, 106.1 KISS-FM Private Performance, iHeartMedia Seattle, Seattle, WA. October 16, 2015; 2015/10/troyesivan/index.htm; l; https://c2.staticflickr.com/6/5782/22362555792_d6267f436d_m.jpg; troyesivan.jpg
Danielle Bradbury, Auburn Rotary Scholarship Show, Auburn Performing Arts Center, Auburn, WA. October 17, 2015; 2015/10/daniellebradbury/index.htm; l; https://c1.staticflickr.com/1/701/22187890948_eefe52705b_m.jpg; daniellebradbury.jpg
Smithfield, Auburn Rotary Scholarship Show, Auburn Performing Arts Center, Auburn, WA. October 17, 2015; 2015/10/smithfield/index.htm; l; https://c1.staticflickr.com/1/699/22362526752_f88b70d01b_m.jpg; smithfield.jpg
Chromeo, Microsoft Tailgaming, Seattle Center, Seattle, WA. October 3, 2015; 2015/10/chromeo/index.htm; l; https://c2.staticflickr.com/6/5821/21797607199_333f6f8a55_m.jpg; chromeo.jpg
