Kathy Griffin, Snoqualmie Casino, Snoqualmie, WA. October 11, 2015; 2015/10/kathygriffin/index.htm; l; https://c2.staticflickr.com/2/1713/23918918469_a4be73cbd2_m.jpg
Reverend Billy and the Stop Shopping Choir, Neil Young's Rebel Content Tour 2015, WaMu Theater, Seattle, WA. October 4, 2015; 2015/10/reverendbillyandthestopshoppingchoir/index.htm; l; https://c2.staticflickr.com/2/1599/24260779426_ea7c33d078_m.jpg
Tove Lo, Queen of the Clouds Tour, Showbox SoDo, Seattle, WA. October 7, 2015; 2015/10/tovelo/index.htm; l; https://c2.staticflickr.com/2/1590/23660076723_35d6cac4be_m.jpg
San Fermin, Alt-J's This Is All Yours Tour, KeyArena, Seattle, WA. October 18, 2015; 2015/10/sanfermin/index.htm; l; https://c2.staticflickr.com/2/1635/23991079120_c158eb38f7_m.jpg
Alt-J, This Is All Yours Tour, KeyArena, Seattle, WA. October 18, 2015; 2015/10/altj/index.htm; l; https://c2.staticflickr.com/2/1583/24178535552_a12dc61dc1_m.jpg
Sergio Mendes, Snoqualmie Casino, Snoqualmie , WA. October 29, 2015; 2015/10/sergiomendes/index.htm; l; https://c2.staticflickr.com/6/5798/22833214476_597a8cd58d_m.jpg; sergiomendes.jpg
Florence and The Machine, KeyArena, Seattle, WA. October 27, 2015; 2015/10/florenceandthemachine/index.htm; l; https://c2.staticflickr.com/6/5683/22376245699_33c20ece4a_m.jpg; florenceandthemachine.jpg
The Ghost of a Saber Tooth Tiger, KeyArena, Seattle, WA. October 27, 2015; 2015/10/theghostofasabertoothtiger/index.htm; l; https://c1.staticflickr.com/1/771/21940258744_be7479cd7e_m.jpg; theghostofasabertoothtiger.jpg
Breaking Benjamin, Xfinity Arena, Everett, WA. October 25, 2015; 2015/10/breakingbenjamin/index.htm; l; https://c1.staticflickr.com/1/665/22549591662_a894065687_m.jpg; breakingbenjamin.jpg
Nothing More, Xfinity Arena, Everett, WA. October 25, 2015; 2015/10/nothingmore/index.htm; l; https://c1.staticflickr.com/1/739/21940441934_2aa372e480_m.jpg; nothingmore.jpg
Twenty One Pilots, Blurryface Tour, Paramount Theatre, Seattle, WA. October 22, 2015; 2015/10/twentyonepilots/index.htm; l; https://c2.staticflickr.com/6/5661/22265961178_525be21095_m.jpg; twentyonepilots.jpg
Echosmith, Twenty One Pilots Blurryface Tour, Paramount Theatre, Seattle, WA. October 22, 2015; 2015/10/echosmith/index.htm; l; https://c2.staticflickr.com/6/5686/22440336292_8014175076_m.jpg; echosmith.jpg
Finish Ticket, Twenty One Pilots Blurryface Tour, Paramount Theatre, Seattle, WA. October 22, 2015; 2015/10/finishticket/index.htm; l; https://c1.staticflickr.com/1/579/22464593471_0315a3728e_m.jpg; finishticket.jpg
Danielle Bradbury, Auburn Rotary Scholarship Show, Auburn Performing Arts Center, Auburn, WA. October 17, 2015; 2015/10/daniellebradbury/index.htm; l; https://c1.staticflickr.com/1/701/22187890948_eefe52705b_m.jpg; daniellebradbury.jpg
Smithfield, Auburn Rotary Scholarship Show, Auburn Performing Arts Center, Auburn, WA. October 17, 2015; 2015/10/smithfield/index.htm; l; https://c1.staticflickr.com/1/699/22362526752_f88b70d01b_m.jpg; smithfield.jpg
Troye Sivan, 106.1 KISS-FM Private Performance, iHeartMedia Seattle, Seattle, WA. October 16, 2015; 2015/10/troyesivan/index.htm; l; https://c2.staticflickr.com/6/5782/22362555792_d6267f436d_m.jpg; troyesivan.jpg
94.1 KMPS 8 Man Jam 2015, 94.1 KMPS 8 Man Jam 2015, Emerald Queen Casino I-5, Tacoma, WA. October 15, 2015; 2015/10/94.1kmps8manjam2015/index.htm; l; https://c1.staticflickr.com/1/728/23199782405_178e987997_m.jpg; 94.1kmps8manjam2015.jpg
Kristian Bush, 94.1 KMPS 8 Man Jam 2015, Emerald Queen Casino I-5, Tacoma, WA. October 15, 2015; 2015/10/kristianbush/index.htm; l; https://c1.staticflickr.com/1/777/23199735845_92394d88f7_m.jpg; kristianbush.jpg
Rodney Atkins, 94.1 KMPS 8 Man Jam 2015, Emerald Queen Casino I-5, Tacoma, WA. October 15, 2015; 2015/10/rodneyatkins/index.htm; l; https://c1.staticflickr.com/1/777/22831777039_ecf9b6e9ae_m.jpg; rodneyatkins.jpg
Lauren Alaina, 94.1 KMPS 8 Man Jam 2015, Emerald Queen Casino I-5, Tacoma, WA. October 15, 2015; 2015/10/laurenalaina/index.htm; l; https://c1.staticflickr.com/1/778/23173638396_e9b3b998e5_m.jpg; laurenalaina.jpg
James Otto, 94.1 KMPS 8 Man Jam 2015, Emerald Queen Casino I-5, Tacoma, WA. October 15, 2015; 2015/10/jamesotto/index.htm; l; https://c1.staticflickr.com/1/777/22831779419_e5e9b8f014_m.jpg; jamesotto.jpg
Chase Bryant, 94.1 KMPS 8 Man Jam 2015, Emerald Queen Casino I-5, Tacoma, WA. October 15, 2015; 2015/10/chasebryant/index.htm; l; https://c1.staticflickr.com/1/689/22572658693_88b84f4e66_m.jpg; chasebryant.jpg
Craig Campbell, 94.1 KMPS 8 Man Jam 2015, Emerald Queen Casino I-5, Tacoma, WA. October 15, 2015; 2015/10/craigcampbell/index.htm; l; https://c1.staticflickr.com/1/768/22831780129_fe5cc9de3a_z.jpg; craigcampbell.jpg
Love and Theft, 94.1 KMPS 8 Man Jam 2015, Emerald Queen Casino I-5, Tacoma, WA. October 15, 2015; 2015/10/loveandtheft/index.htm; l; https://c1.staticflickr.com/1/718/23173637866_6c2e201ca6_m.jpg; loveandtheft.jpg
Waterloo Revival, 94.1 KMPS 8 Man Jam 2015, Emerald Queen Casino I-5, Tacoma, WA. October 15, 2015; 2015/10/waterloorevival/index.htm; l; https://c2.staticflickr.com/6/5622/22831776759_b95fc08eee_m.jpg; waterloorevival.jpg
Chromeo, Microsoft Tailgaming, Seattle Center, Seattle, WA. October 3, 2015; 2015/10/chromeo/index.htm; l; https://c2.staticflickr.com/6/5821/21797607199_333f6f8a55_m.jpg; chromeo.jpg
