Lionel Richie, KeyArena, Seattle, WA. September 5, 2017; 2017/09/lionelrichie/index.htm; l;  (CollabDb); 1939
Johnny Rivers, Snoqualmie Casino, Snoqualmie, WA. September 8, 2017; 2017/09/johnnyrivers/index.htm; l;  (CollabDb); 1938
Ted Alexandro, Noble Ape Tour, KeyArena, Seattle, WA. September 16, 2017; 2017/09/tedalexandro/index.htm; l;  (CollabDb); 1937
Jim Gaffigan, Noble Ape Tour, KeyArena, Seattle, WA. September 16, 2017; 2017/09/jimgaffigan/index.htm; l;  (CollabDb); 1936
accesso ShoWare Center, ShoWare Center, Kent, WA. September 20, 2017; 2017/09/accessoshowarecenter/index.htm; l;  (CollabDb); 1935
Michael Ray, Washington State Fair, Puyallup, WA. September 20, 2017; 2017/09/michaelray/index.htm; l;  (CollabDb); 1934
Macklemore, Interview at Power 93.3, iHeartMedia Seattle, Seattle, WA. September 22, 2017; 2017/09/macklemore/index.htm; l;  (CollabDb); 1933
Alina Baraz, A Head Full of Dreams Tour, CenturyLink Field, Seattle, WA. September 23, 2017; 2017/09/alinabaraz/index.htm; l;  (CollabDb); 1932
Tove Lo, A Head Full of Dreams Tour, CenturyLink Field, Seattle, WA. September 23, 2017; 2017/09/tovelo/index.htm; l;  (CollabDb); 1931
Kane Brown, Washington State Fair, Puyallup, WA. September 24, 2017; 2017/09/kanebrown/index.htm; l;  (CollabDb); 1930
Lee Brice, #941Next, Hard Rock Cafe Seattle, Seattle, WA. September 27, 2017; 2017/09/leebrice/index.htm; l;  (CollabDb); 1928
Aaron Crawford, #941Next, Hard Rock Cafe Seattle, Seattle, WA. September 27, 2017; 2017/09/aaroncrawford/index.htm; l;  (CollabDb); 1929
Aaron Crawford, #941Next, Hard Rock Cafe Seattle, Seattle, WA. September 27, 2017; 2017/09/aaroncrawford/index.htm; l;  (CollabDb); 1929
Lee Brice, #941Next, Hard Rock Cafe Seattle, Seattle, WA. September 27, 2017; 2017/09/leebrice/index.htm; l;  (CollabDb); 1928
