Sara Bareilles, WaMu Theater, Seattle, WA. October 22, 2019; 2019/10/sarabareilles/index.htm; l;  (CollabDb); 8D95834FE854805
Emily King, WaMu Theater, Seattle, WA. October 22, 2019; 2019/10/emilyking/index.htm; l;  (CollabDb); 8D95833F87228E0
Australian Bee Gees, Snoqualmie Casino, Snoqualmie, WA. October 20, 2019; 2019/10/australianbeegees/index.htm; l;  (CollabDb); 8D958319B64232D
Ice Cube, Jamin' 107.5's Boo Bomb 6, Moda Center, Portland, OR. October 19, 2019; 2019/10/icecube/index.htm; l;  (CollabDb); 8D9583138016E2D
Ginuwine, Jamin' 107.5's Boo Bomb 6, Moda Center, Portland, OR. October 19, 2019; 2019/10/ginuwine/index.htm; l;  (CollabDb); 8D958308DE56FE3
E-40, Jamin' 107.5's Boo Bomb 6, Moda Center, Portland, OR. October 19, 2019; 2019/10/e40/index.htm; l;  (CollabDb); 8D958304B9FF813
Zapp, Jamin' 107.5's Boo Bomb 6, Moda Center, Portland, OR. October 19, 2019; 2019/10/zapp/index.htm; l;  (CollabDb); 8D95830C15172A0
Baby Bash, Jamin' 107.5's Boo Bomb 6, Moda Center, Portland, OR. October 19, 2019; 2019/10/babybash/index.htm; l;  (CollabDb); ManuallyAdded
Roulette Delgado, Jamin' 107.5's Boo Bomb 6, Moda Center, Portland, OR. October 19, 2019; 2019/10/roulettedelgado/index.htm; l;  (CollabDb); ManuallyAdded
Jonas Brothers, Tacoma Dome, Tacoma, WA. October 13, 2019; 2019/10/jonasbrothers/index.htm; l; (CollabDb); ManuallyAdded
Bebe Rexha, Tacoma Dome, Tacoma, WA. October 13, 2019; 2019/10/beberexha/index.htm; l; (CollabDb); ManuallyAdded
Jordan McGraw, Tacoma Dome, Tacoma, WA. October 13, 2019; 2019/10/jordanmcgraw/index.htm; l; (CollabDb); ManuallyAdded
Bastille, WaMu Theater, Seattle, WA. October 9, 2019; 2019/10/bastille/index.htm; l; (CollabDb); ManuallyAdded
Joywave, WaMu Theater, Seattle, WA. October 9, 2019; 2019/10/joywave/index.htm; l; (CollabDb); ManuallyAdded
Logic, WaMu Theater, Seattle, WA. October 8, 2019; 2019/10/logic/index.htm; l; (CollabDb); ManuallyAdded
YBN Cordae, WaMu Theater, Seattle, WA. October 8, 2019; 2019/10/ybncordae/index.htm; l; (CollabDb); ManuallyAdded
J.I.D, WaMu Theater, Seattle, WA. October 8, 2019; 2019/10/j.i.d/index.htm; l; (CollabDb); ManuallyAdded
Silas, WaMu Theater, Seattle, WA. October 8, 2019; 2019/10/silas/index.htm; l; (CollabDb); ManuallyAdded
Sounders FC vs Minnesota United FC, CenturyLink Field, Seattle, WA. October 6, 2019; 2019/10/soundersfcvsminnesotaunitedfc/index.htm; l; (CollabDb); ManuallyAdded
