Kevin Gates, WaMu Theater, Seattle, WA. November 30, 2019; 2019/11/kevingates/index.htm; l;  (CollabDb); 8D943FB00D5AA10
NLE Choppa, WaMu Theater, Seattle, WA. November 30, 2019; 2019/11/nlechoppa/index.htm; l;  (CollabDb); 8D943FA8F08D54E
OG Boobie, WaMu Theater, Seattle, WA. November 30, 2019; 2019/11/ogboobie/index.htm; l;  (CollabDb); 8D943FA6DE184E0
YK Osiris, WaMu Theater, Seattle, WA. November 30, 2019; 2019/11/ykosiris/index.htm; l;  (CollabDb); 8D943FA476A14DB
Illenium, WaMu Theater, Seattle, WA. November 27, 2019; 2019/11/illenium/index.htm; l;  (CollabDb); 8D943FC05BB52A8
William Black, WaMu Theater, Seattle, WA. November 27, 2019; 2019/11/williamblack/index.htm; l;  (CollabDb); 8D943FBA2760A10
Dabin, WaMu Theater, Seattle, WA. November 27, 2019; 2019/11/dabin/index.htm; l;  (CollabDb); 8D943FB78000D5C
Jeff Foxworthy, Snoqualmie Casino, Snoqualmie, WA. November 22, 2019; 2019/11/jefffoxworthy/index.htm; l;  (CollabDb); 8D9496356325729
Big and Rich, Snoqualmie Casino, Snoqualmie, WA. November 16, 2019; 2019/11/bigandrich/index.htm; l;  (CollabDb); 8D949633954C33C
Machine Gun Kelly, WaMu Theater, Seattle, WA. November 10, 2019; 2019/11/machinegunkelly/index.htm; l;  (CollabDb); 8D94941C4C8B6B8
Young Thug, WaMu Theater, Seattle, WA. November 10, 2019; 2019/11/youngthug/index.htm; l;  (CollabDb); 8D94940EEE34101
Strick, WaMu Theater, Seattle, WA. November 10, 2019; 2019/11/strick/index.htm; l;  (CollabDb); 8D9494019F915FE
RJ, WaMu Theater, Seattle, WA. November 10, 2019; 2019/11/rj/index.htm; l;  (CollabDb); 8D9493FEA9E3695
Polo G, WaMu Theater, Seattle, WA. November 10, 2019; 2019/11/polog/index.htm; l;  (CollabDb); 8D9493FBF28C06A
Dolly and Dora, WaMu Theater, Seattle, WA. November 10, 2019; 2019/11/dollyanddora/index.htm; l;  (CollabDb); 8D9493FA1D94030
Fisher, All My Friends Seattle, WaMu Theater, Seattle, WA. November 9, 2019; 2019/11/fisher/index.htm; l;  (CollabDb); 8D9465324F063B3
Idris Elba, All My Friends Seattle, WaMu Theater, Seattle, WA. November 9, 2019; 2019/11/idriselba/index.htm; l;  (CollabDb); 8D94653613ED44E
Claptone, All My Friends Seattle, WaMu Theater, Seattle, WA. November 9, 2019; 2019/11/claptone/index.htm; l;  (CollabDb); 8D94652BAB374D7
Weiss, All My Friends Seattle, WaMu Theater, Seattle, WA. November 9, 2019; 2019/11/weiss/index.htm; l;  (CollabDb); 8D94652730D4408
Alice Lau, Snoqualmie Casino, Snoqualmie Casino, WA. November 3, 2019; 2019/11/alicelau/index.htm; l;  (CollabDb); 8D94589D6A7B74B
Luke Combs, Tacoma Dome, Tacoma, WA. November 2, 2019; 2019/11/lukecombs/index.htm; l;  (CollabDb); 8D9458937E3A24F
Morgan Wallen, Tacoma Dome, Tacoma, WA. November 2, 2019; 2019/11/morganwallen/index.htm; l;  (CollabDb); 8D94588B7089D20
Jameson Rodgers, Tacoma Dome, Tacoma, WA. November 2, 2019; 2019/11/jamesonrodgers/index.htm; l;  (CollabDb); 8D94587AD0FDC1D
Dee Jay Silver, Tacoma Dome, Tacoma, WA. November 2, 2019; 2019/11/djsilver/index.htm; l;  (CollabDb); 8D94587306464E3
