Setup for Speakeasy NYE, Snoqualmie Casino, Snoqualmie, WA. December 31, 2019; 2019/12/setupforspeakeasynye/index.htm; l;  (CollabDb); 8D933793E26966A
deadmau5, WaMu Theater, Seattle, WA. December 19, 2019; 2019/12/deadmau5/index.htm; l;  (CollabDb); 2021
Lights, WaMu Theater, Seattle, WA. December 19, 2019; 2019/12/lights/index.htm; l;  (CollabDb); 2020
MSTRKRFT, WaMu Theater, Seattle, WA. December 19, 2019; 2019/12/mstrkrft/index.htm; l;  (CollabDb); 2019
Qrion, WaMu Theater, Seattle, WA. December 19, 2019; 2019/12/qrion/index.htm; l;  (CollabDb); 2018
One Big Heart, Seattle Children's Hospital, Seattle, WA. December 17, 2019; 2019/12/onebigheart/index.htm; l;  (CollabDb); 8D9337AEDF199C5
Breakfast with Santa, Cougar Mountain Zoo, Issaquah, WA. December 15, 2019; 2019/12/breakfastwithsanta/index.htm; l;  (CollabDb); 8D9337BF0804739
Thompson Square, 98.9 The Bull's Frosty Fest, Federal Way Performing Arts and Event Center, Federal Way, WA. December 12, 2019; 2019/12/thompsonsquare/index.htm; l;  (CollabDb); 8D943F5A5A5431E
Maddie and Tae, 98.9 The Bull's Frosty Fest, Federal Way Performing Arts and Event Center, Federal Way, WA. December 12, 2019; 2019/12/maddieandtae/index.htm; l;  (CollabDb); 8D943F63296D00E
Guitar Pull, 98.9 The Bull's Frosty Fest, Federal Way Performing Arts and Event Center, Federal Way, WA. December 12, 2019; 2019/12/guitarpull/index.htm; l;  (CollabDb); 8D943F6985EB1CF
The 1975, Deck The Hall Ball 2019, WaMu Theater, Seattle, WA. December 10, 2019; 2019/12/the1975/index.htm; l;  (CollabDb); 8D943F71F71A736
Catfish and the Bottlemen, Deck The Hall Ball 2019, WaMu Theater, Seattle, WA. December 10, 2019; 2019/12/catfishandthebottlemen/index.htm; l;  (CollabDb); 2022
The Regrettes, Deck The Hall Ball 2019, WaMu Theater, Seattle, WA. December 10, 2019; 2019/12/theregrettes/index.htm; l;  (CollabDb); 2025
Of Monsters and Men, Deck The Hall Ball 2019, WaMu Theater, Seattle, WA. December 10, 2019; 2019/12/ofmonstersandmen/index.htm; l;  (CollabDb); 2024
Chong The Nomad, Deck The Hall Ball 2019, WaMu Theater, Seattle, WA. December 10, 2019; 2019/12/chongthenomad/index.htm; l;  (CollabDb); 2023
The Clairvoyants, Snoqualmie Casino, Snoqualmie, WA. December 8, 2019; 2019/12/theclairvoyants/index.htm; l;  (CollabDb); 2026
Home Town Harvest, Issaquah Highlands' Safeway, Issaquah, WA. December 7, 2019; 2019/12/hometownharvest/index.htm; l;  (CollabDb); 8D943F79BBE98A7
Hometown Holiday with 100.7 The Wolf, accesso ShoWare Center, Kent, WA. December 5, 2019; 2019/12/hometownholidaywith100.7thewolf/index.htm; l;  (CollabDb); 8D943F85D5753DB
whydontwe, Hard Rock Cafe Seattle, Seattle, WA. December 4, 2019; 2019/12/whydontwe/index.htm; l;  (CollabDb); 2027
Winterfest Ice Rink, Seattle Center, Seattle, WA. December 4, 2019; 2019/12/winterfesticerink/index.htm; l;  (CollabDb); 8D943F914669016
ScHoolboy Q, WaMu Theater, Seattle, WA. December 1, 2019; 2019/12/schoolboyq/index.htm; l;  (CollabDb); 8D7C861D67FE0C9
TF, WaMu Theater, Seattle, WA. December 1, 2019; 2019/12/tf/index.htm; l;  (CollabDb); 8D7C861A8F9A6C1
Nav, WaMu Theater, Seattle, WA. December 1, 2019; 2019/12/nav/index.htm; l;  (CollabDb); 8D7C8618EF8DE1E
